Timestamp,Heart rate
2021-02-01 18:32:00,86.0
2021-02-01 18:33:00,85.0
2021-02-01 18:34:00,82.0
2021-02-01 18:35:00,77.0
2021-02-01 18:36:00,78.0
2021-02-01 18:37:00,76.0
2021-02-01 18:38:00,94.0
2021-02-01 18:39:00,103.0
2021-02-01 18:40:00,99.0
2021-02-01 18:41:00,113.0
2021-02-01 18:44:00,112.0
2021-02-01 19:01:00,91.0
2021-02-01 19:03:00,90.0
2021-02-01 19:04:00,89.0
2021-02-01 19:05:00,94.0
2021-02-01 19:06:00,96.0
2021-02-01 19:07:00,92.0
2021-02-01 19:08:00,103.0
2021-02-01 19:09:00,95.0
2021-02-01 19:10:00,92.0
2021-02-01 19:12:00,90.0
2021-02-01 19:14:00,91.0
2021-02-01 19:17:00,89.0
2021-02-01 19:19:00,91.0
2021-02-01 19:20:00,90.0
2021-02-01 19:21:00,91.0
2021-02-01 19:22:00,89.0
2021-02-01 19:24:00,90.0
2021-02-01 19:25:00,91.0
2021-02-01 19:29:00,90.0
2021-02-01 19:31:00,91.0
2021-02-01 19:33:00,89.0
2021-02-01 19:34:00,92.0
2021-02-01 19:35:00,91.0
2021-02-01 19:38:00,90.0
2021-02-01 19:40:00,91.0
2021-02-01 19:41:00,92.0
2021-02-01 19:43:00,91.0
2021-02-01 19:45:00,92.0
2021-02-01 19:46:00,90.0
2021-02-01 19:47:00,92.0
2021-02-01 19:50:00,91.0
2021-02-01 19:51:00,93.0
2021-02-01 19:52:00,113.0
2021-02-01 19:53:00,119.0
2021-02-01 19:54:00,91.0
2021-02-01 19:55:00,82.0
2021-02-01 19:56:00,80.0
2021-02-01 19:58:00,82.0
2021-02-01 20:00:00,80.0
2021-02-01 20:01:00,74.0
2021-02-01 20:02:00,71.0
2021-02-01 20:03:00,68.0
2021-02-01 20:04:00,69.0
2021-02-01 20:05:00,66.0
2021-02-01 20:06:00,64.0
2021-02-01 20:07:00,61.0
2021-02-01 20:08:00,62.0
2021-02-01 20:09:00,71.0
2021-02-01 20:10:00,72.0
2021-02-01 20:11:00,62.0
2021-02-01 20:12:00,59.0
2021-02-01 20:13:00,60.0
2021-02-01 20:14:00,59.0
2021-02-01 20:15:00,58.0
2021-02-01 20:16:00,56.0
2021-02-01 20:17:00,57.0
2021-02-01 20:18:00,59.0
2021-02-01 20:19:00,64.0
2021-02-01 20:20:00,65.0
2021-02-01 20:21:00,69.0
2021-02-01 20:22:00,81.0
2021-02-01 20:23:00,79.0
2021-02-01 20:24:00,70.0
2021-02-01 20:25:00,83.0
2021-02-01 20:27:00,73.0
2021-02-01 20:28:00,85.0
2021-02-01 20:29:00,88.0
2021-02-01 20:30:00,75.0
2021-02-01 20:31:00,83.0
2021-02-01 20:32:00,81.0
2021-02-01 20:33:00,72.0
2021-02-01 20:34:00,71.0
2021-02-01 20:37:00,72.0
2021-02-01 20:39:00,71.0
2021-02-01 20:41:00,72.0
2021-02-01 20:42:00,71.0
2021-02-01 20:43:00,72.0
2021-02-01 20:44:00,78.0
2021-02-01 20:45:00,75.0
2021-02-01 20:46:00,69.0
2021-02-01 20:47:00,78.0
2021-02-01 20:48:00,79.0
2021-02-01 20:49:00,74.0
2021-02-01 20:50:00,71.0
2021-02-01 20:53:00,77.0
2021-02-01 20:54:00,91.0
2021-02-01 20:55:00,79.0
2021-02-01 20:56:00,87.0
2021-02-01 20:57:00,88.0
2021-02-01 20:58:00,86.0
2021-02-01 20:59:00,78.0
2021-02-01 21:00:00,89.0
2021-02-01 21:01:00,83.0
2021-02-01 21:02:00,73.0
2021-02-01 21:04:00,71.0
2021-02-01 21:05:00,77.0
2021-02-01 21:06:00,81.0
2021-02-01 21:07:00,75.0
2021-02-01 21:08:00,73.0
2021-02-01 21:09:00,69.0
2021-02-01 21:10:00,72.0
2021-02-01 21:11:00,81.0
2021-02-01 21:12:00,77.0
2021-02-01 21:13:00,75.0
2021-02-01 21:14:00,85.0
2021-02-01 21:15:00,87.0
2021-02-01 21:17:00,86.0
2021-02-01 21:18:00,78.0
2021-02-01 21:19:00,72.0
2021-02-01 21:21:00,70.0
2021-02-01 21:22:00,75.0
2021-02-01 21:23:00,70.0
2021-02-01 21:24:00,74.0
2021-02-01 21:25:00,84.0
2021-02-01 21:27:00,74.0
2021-02-01 21:28:00,71.0
2021-02-01 21:32:00,72.0
2021-02-01 21:33:00,71.0
2021-02-01 21:35:00,78.0
2021-02-01 21:36:00,87.0
2021-02-01 21:37:00,89.0
2021-02-01 21:38:00,83.0
2021-02-01 21:39:00,81.0
2021-02-01 21:40:00,75.0
2021-02-01 21:41:00,82.0
2021-02-01 21:42:00,81.0
2021-02-01 21:43:00,89.0
2021-02-01 21:44:00,85.0
2021-02-01 21:45:00,75.0
2021-02-01 21:46:00,73.0
2021-02-01 21:47:00,90.0
2021-02-01 21:48:00,87.0
2021-02-01 21:49:00,81.0
2021-02-01 21:50:00,83.0
2021-02-01 21:51:00,86.0
2021-02-01 21:52:00,74.0
2021-02-01 21:53:00,70.0
2021-02-01 21:54:00,72.0
2021-02-01 21:55:00,76.0
2021-02-01 21:56:00,88.0
2021-02-01 21:57:00,84.0
2021-02-01 21:58:00,85.0
2021-02-01 21:59:00,81.0
2021-02-01 22:00:00,83.0
2021-02-01 22:01:00,77.0
2021-02-01 22:02:00,72.0
